title,location,estimation,viewCount,reviewCount
하나라멘,서울시 마포구 연남동 390-44 1F,4.5,26277.0,46.0
바마셀,서울시 용산구 원효로1가 38-3,4.5,21205.0,34.0
당도,서울시 성동구 성수동1가 656-320 2F,4.5,49469.0,56.0
"마루심
                                    (마포점)",서울시 마포구 용강동 51-3 성진빌딩 1F,4.5,112504.0,51.0
앙띠크,서울시 서초구 서초동 1660-1,4.5,22642.0,37.0
코메아벨렘,서울시 마포구 연남동 227-15 1F,4.5,35284.0,49.0
"도마유즈라멘
                                    (안국점)",서울시 종로구 재동 84-6,4.5,30701.0,45.0
428 레스토랑,서울시 강남구 삼성동 113-5 호텔 크레센도 1F,4.5,32939.0,21.0
아키비스트,서울시 종로구 효자동 164-7 1F,4.5,40522.0,56.0
"더그레이트홍연
                                    (조선팰리스점)",서울시 강남구 역삼동 676 조선팰리스 서울강남 F36,4.5,11106.0,11.0
"카리
                                    (분당정자카페점)",경기도 성남시 분당구 정자동 13-1 동양정자파라곤 105동 B1,4.5,95165.0,42.0
운봉산장양고기전문점,서울시 동작구 노량진동 309-18,4.5,91156.0,52.0
뽀르께노 스페니쉬비스트로,서울시 성북구 동소문동2가 33 1F,4.5,13252.0,13.0
기노,서울시 마포구 도화동 204-1 1F,4.5,98711.0,35.0
"우제홍참치
                                    (논현본점)",서울시 강남구 논현동 164-16 2F,4.5,67342.0,29.0
이리에라멘,서울시 마포구 합정동 372-30 1F,4.5,6941.0,26.0
옥토스,서울시 서초구 서초동 1302-34 1F,4.5,62597.0,15.0
해남낙지,서울시 중구 을지로6가 18-74 연동빌딩 B1,4.5,87877.0,43.0
푸에고,서울시 용산구 한남동 274-13,4.5,34778.0,14.0
주파카,서울시 용산구 한남동 684-49 1F,4.5,20939.0,13.0
"왕스덕
                                    (논현점)",서울시 강남구 논현동 4-18 하림타워 B1,4.5,53308.0,22.0
성수 수집,서울시 성동구 성수동1가 656-1872 1F,4.5,18815.0,8.0
로바타라이브라,서울시 강남구 청담동 19-19 1F,4.5,23306.0,13.0
모트32,서울시 서초구 반포동 19-3 2F,4.5,36048.0,10.0
양재초밥,서울시 강남구 도곡동 450 102호,4.5,50772.0,31.0
"락희안
                                    (본점)",서울시 서대문구 남가좌동 336-20 1-2F,4.5,29896.0,19.0
아소토,서울시 마포구 합정동 371-1 1F,4.5,47122.0,22.0
시홍쓰,서울시 광진구 화양동 94-1 1F,4.5,45797.0,23.0
PIZZA PIZZA,서울시 강남구 역삼동 658-21 1F,4.5,14211.0,10.0
만감,서울시 동대문구 장안동 139-23 1F,4.5,3797.0,6.0
모멍데모시옹,서울시 서초구 서초동 1473-1,4.5,19205.0,18.0
웨스트사이드,서울시 마포구 망원동 409-11,4.5,21364.0,20.0
멜로즈,서울시 마포구 아현동 618-19 103호,4.5,3747.0,16.0
이도,서울시 강남구 역삼동 747-14 1F,4.5,47923.0,18.0
계인전 보타니카,서울시 강남구 신사동 526-3 1F,4.5,2099.0,10.0
물고기초밥,서울시 마포구 서교동 396-28,4.5,27001.0,27.0
이한진숙성회,서울시 강동구 천호동 393-14,4.5,29175.0,20.0
그리스마스,서울시 마포구 연남동 383-82 B1,4.5,6380.0,8.0
"비스테까
                                    (신세계백화점 강남점)",서울시 서초구 반포동 19-3 신세계백화점 강남점 B1,4.5,35607.0,29.0
"남대문막내횟집
                                    (광교점)",서울시 종로구 관철동 263,4.5,13276.0,12.0
롱보트스모커,서울시 서대문구 연희동 121-7 1F,4.5,17180.0,12.0
능동미나리,서울시 용산구 한강로2가 148-6,4.5,1355.0,5.0
히비카레빵집,서울시 마포구 연남동 487-213 1F,4.5,2337.0,8.0
"심퍼티쿠시
                                    (용산점)",서울시 용산구 한강로2가 31 1F,4.3,9313.0,10.0
"갓포아키
                                    (서래마을점)",서울시 서초구 방배동 1-138 2F,4.5,12646.0,8.0
밸런스포케,서울시 성동구 성수동1가 668-41 1F,4.5,4554.0,7.0
스트로베리32,서울시 성동구 성수동1가 656-395 2F,4.5,5251.0,6.0
"야끼니꾸소량 (휴업중)
                                    (이태원점)",서울시 용산구 이태원동 132-15 1F,4.5,3239.0,4.0
도림186,서울시 영등포구 도림동 186-9,4.5,6848.0,10.0
김씨마구로,서울시 강남구 역삼동 676,4.5,512.0,4.0
비야게레로,서울시 강남구 삼성동 118-21 101호,4.4,204001.0,342.0
파씨오네,서울시 강남구 신사동 646-23,4.4,534592.0,153.0
뉴질랜드스토리,서울시 송파구 송파동 32-1 경남레이크파크 113호,4.4,349824.0,281.0
꼼다비뛰드,서울시 강남구 역삼동 622-2,4.4,279919.0,160.0
금돼지식당,서울시 중구 신당동 370-69,4.4,226223.0,204.0
"지아니스나폴리
                                    (역삼 본점)",서울시 강남구 역삼동 669-18 B1,4.4,382247.0,295.0
카밀로라자네리아,서울시 마포구 서교동 382-13,4.4,386845.0,249.0
엘리스리틀이태리,서울시 송파구 송파동 8 SANDONG빌딩,4.4,455380.0,245.0
골드피쉬딤섬퀴진,서울시 강남구 신사동 657-5 투구빌딩 2F,4.4,334868.0,257.0
