Addr,Score
"
서울 동작구 장승배기로28길 19 1층
(지번) 노량진동 56-14
",3.4
"
서울 동작구 상도로47길 13 1층
(지번) 상도1동 356
",5.0
"
서울 동작구 흑석로13마길 65-3 1층
(지번) 흑석동 190-22
",3.3
"
서울 동작구 양녕로26길 16
(지번) 상도동 210-32
",5.0
"
서울 동작구 상도로50길 8
(지번) 상도동 462-9
",0.0
"
서울 동작구 상도로37길 62
(지번) 상도동 467-2
",1.0
"
서울 동작구 서달로13길 5-14
(지번) 흑석동 102-51
",2.9
"
서울 동작구 양녕로 253-12
(지번) 상도1동 704-1
",0.0
"
서울 동작구 장승배기로10길 9
(지번) 상도동 369-6
",2.3
"
서울 동작구 상도로61길 38 1층
(지번) 상도동 504-5
",2.7
"
서울 동작구 만양로 110 1층
(지번) 노량진동 117-15
",4.7
"
서울 동작구 서달로10길 8
(지번) 흑석동 86-102
",3.2
"
서울 동작구 상도로61길 48 2층
(지번) 상도동 504-1
",5.0
"
서울 동작구 상도로 219
(지번) 상도동 26-11
",0.0
"
서울 동작구 흑석로11길 4 1~2층
(지번) 흑석동 184-14
",0.0
"
서울 동작구 장승배기로28길 19 1층
(지번) 노량진동 56-14
",3.4
"
서울 동작구 상도로47길 13 1층
(지번) 상도1동 356
",5.0
"
서울 동작구 흑석로13마길 65-3 1층
(지번) 흑석동 190-22
",3.3
"
서울 동작구 양녕로26길 16
(지번) 상도동 210-32
",5.0
"
서울 동작구 상도로50길 8
(지번) 상도동 462-9
",0.0
"
서울 동작구 상도로37길 62
(지번) 상도동 467-2
",1.0
"
서울 동작구 서달로13길 5-14
(지번) 흑석동 102-51
",2.9
"
서울 동작구 양녕로 253-12
(지번) 상도1동 704-1
",0.0
"
서울 동작구 장승배기로10길 9
(지번) 상도동 369-6
",2.3
"
서울 동작구 상도로61길 38 1층
(지번) 상도동 504-5
",2.7
"
서울 동작구 만양로 110 1층
(지번) 노량진동 117-15
",4.7
"
서울 동작구 서달로10길 8
(지번) 흑석동 86-102
",3.2
"
서울 동작구 상도로61길 48 2층
(지번) 상도동 504-1
",5.0
"
서울 동작구 상도로 219
(지번) 상도동 26-11
",0.0
"
서울 동작구 흑석로11길 4 1~2층
(지번) 흑석동 184-14
",0.0
"
서울 동작구 흑석로8길 9
(지번) 흑석동 223-16
",4.6
"
서울 동작구 만양로 105 1층
(지번) 노량진동 116-2
",2.8
"
서울 동작구 성대로1길 4 1층
(지번) 상도동 248-14
",4.1
"
서울 동작구 노량진로 180 1층
(지번) 노량진동 148-91
",2.5
"
서울 동작구 노량진로16길 16 1층
(지번) 노량진동 95
",3.0
"
서울 동작구 만양로 19 신동아리버파크아파트 상가동 131,132호
(지번) 노량진동 325
",0.0
